date,SEVENTEEN,TOMORROW_X_TOGETHER,BOYNEXTDOOR,ENHYPEN,RIIZE,Stray_Kids,ZEROBASEONE
2024-09-29,68,29,65,51,15,32,54
2024-10-06,71,34,55,57,24,37,51
2024-10-13,87,30,57,55,100,33,50
2024-10-20,86,28,52,49,18,33,50
2024-10-27,84,26,45,50,12,33,58
2024-11-03,78,34,38,52,11,31,42
2024-11-10,94,32,36,71,12,36,41
2024-11-17,80,59,47,67,13,100,54
2024-11-24,86,39,55,63,13,96,65
2024-12-01,75,35,59,57,13,43,56
2024-12-08,73,31,51,63,13,45,44
2024-12-15,67,32,64,52,10,46,42
2024-12-22,69,34,65,61,12,48,58
2024-12-29,71,100,58,58,11,41,55
2025-01-05,66,36,100,51,11,39,43
2025-01-12,72,38,84,48,13,35,45
2025-01-19,76,28,99,52,11,37,55
2025-01-26,70,29,80,54,9,37,65
2025-02-02,72,26,70,45,9,40,54
2025-02-09,76,28,68,44,9,34,47
2025-02-16,70,31,63,43,8,39,54
2025-02-23,61,29,57,47,8,36,79
2025-03-02,60,31,55,52,7,36,83
2025-03-09,65,28,54,45,7,36,75
2025-03-16,65,29,57,45,8,39,62
2025-03-23,60,32,70,49,7,50,51
2025-03-30,68,36,76,57,7,53,51
2025-04-06,65,32,52,61,6,52,51
2025-04-13,57,27,55,100,6,41,51
2025-04-20,63,29,46,92,6,36,64
2025-04-27,63,33,46,56,12,35,49
2025-05-04,61,29,45,46,11,34,35
2025-05-11,64,33,89,49,13,32,42
2025-05-18,74,37,78,60,16,35,35
2025-05-25,100,34,76,58,15,43,43
2025-06-01,85,29,58,83,19,42,38
2025-06-08,73,26,51,80,14,45,41
2025-06-15,71,32,50,74,12,48,41
2025-06-22,63,30,51,75,11,52,38
2025-06-29,63,41,67,74,13,43,52
2025-07-06,69,43,56,84,16,46,52
2025-07-13,68,41,59,71,15,60,51
2025-07-20,73,56,63,72,18,68,70
2025-07-27,72,48,77,86,15,72,76
2025-08-03,74,49,83,94,16,53,79
2025-08-10,66,43,71,79,15,54,72
2025-08-17,67,50,86,84,15,76,69
2025-08-24,66,41,60,79,16,75,61
2025-08-31,66,41,58,75,14,63,100
2025-09-07,62,42,52,76,13,58,88
2025-09-14,65,37,46,70,15,54,74
2025-09-21,66,38,49,62,15,50,80
2025-09-28,64,38,54,64,13,48,71
